player_id,first_name,last_name,position,jersey_number,team_id,team_abbr,roster_status,injury_description,playing_probability,last_updated_on
19020,Colby,Parkinson,TE,84,77,LA,ROSTER,shoulder,QUESTIONABLE,2025-09-15T12:40:02.401Z
39120,Josh,Paschal,DE,93,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
12988,Lucas,Patrick,G,62,57,CIN,ROSTER,calf,OUT,2025-09-15T12:40:02.401Z
134533,Rico,Payton,CB,36,53,NYG,INJURY_LIST,undisclosed,OUT,2025-09-15T12:40:02.401Z
166699,James,Pearce Jr.,DE,27,68,ATL,ROSTER,groin,QUESTIONABLE,2025-09-15T12:40:02.401Z
133865,Ricky,Pearsall,WR,1,78,SF,ROSTER,hamstring,QUESTIONABLE,2025-09-15T12:40:02.401Z
39093,Trevor,Penning,OT,70,70,NO,ROSTER,toe,QUESTIONABLE,2025-09-15T12:40:02.401Z
8255,Denzel,Perryman,LB,6,75,LAC,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
18584,Jacob,Phillips,LB,54,,,UFA,bicep,OUT,2025-09-15T12:40:02.401Z
79851,Clark,Phillips III,CB,22,68,ATL,ROSTER,ribs,QUESTIONABLE,2025-09-15T12:40:02.401Z
13218,Ethan,Pocic,C,55,58,CLE,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
133871,Ja'Lynn,Polk,LB,39,70,NO,ROSTER,shoulder,OUT,2025-09-15T12:40:02.401Z
30251,Elijah,Ponder,LB,91,50,NE,ROSTER,undisclosed,QUESTIONABLE,2025-09-15T12:40:02.401Z
79770,Joey,Porter Jr.,CB,24,59,PIT,ROSTER,hamstring,QUESTIONABLE,2025-09-15T12:40:02.401Z
133878,Jackson,Powers-Johnson,G,58,74,LV,ROSTER,ribs,QUESTIONABLE,2025-09-15T12:40:02.401Z
133921,Dominick,Puni,G,77,78,SF,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
39438,Brock,Purdy,QB,13,78,SF,ROSTER,toe,OUT,2025-09-15T12:40:02.401Z
39277,Bernhard,Raimann,T,79,65,IND,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
133895,Ennis,Rakestraw Jr.,CB,15,,,ROSTER,shoulder,OUT,2025-09-15T12:40:02.401Z
166757,Caleb,Ransaw,CB,,66,JAX,ROSTER,lower body,OUT,2025-09-15T12:40:02.401Z
39226,LaBryan,Ray,DT,93,69,CAR,ROSTER,ankle,OUT,2025-09-15T12:40:02.401Z
12688,Haason,Reddick,OLB,5,71,TB,ROSTER,foot,QUESTIONABLE,2025-09-15T12:40:02.401Z
166899,Jaylen,Reed,FS,,64,HOU,ROSTER,ankle,OUT,2025-09-15T12:40:02.401Z
79788,Jayden,Reed,WR,11,62,GB,ROSTER,shoulder,OUT,2025-09-15T12:40:02.401Z
134320,Winston,Reid,LB,59,58,CLE,ROSTER,back,OUT,2025-09-15T12:40:02.401Z
133917,Tip,Reiman,TE,87,76,ARI,ROSTER,foot,QUESTIONABLE,2025-09-15T12:40:02.401Z
16623,Hunter,Renfrow,WR,13,69,CAR,ROSTER,toe,QUESTIONABLE,2025-09-15T12:40:02.401Z
13573,Josh,Reynolds,WR,83,51,NYJ,ROSTER,hamstring,QUESTIONABLE,2025-09-15T12:40:02.401Z
12758,Patrick,Ricard,FB,42,56,BAL,ROSTER,calf,QUESTIONABLE,2025-09-15T12:40:02.401Z
79793,Rashee,Rice,WR,4,73,KC,ROSTER,suspension,OUT,2025-09-15T12:40:02.401Z
79742,Anthony,Richardson,QB,5,65,IND,ROSTER,hand,QUESTIONABLE,2025-09-15T12:40:02.401Z
47934,John,Ridgeway,DT,95,,,UFA,pectoral,OUT,2025-09-15T12:40:02.401Z
18952,Malcolm,Roach,DT,97,72,DEN,ROSTER,calf,OUT,2025-09-15T12:40:02.401Z
9942,Elandon,Roberts,OLB,52,74,LV,ROSTER,elbow,QUESTIONABLE,2025-09-15T12:40:02.401Z
168031,JJ,Roberts,FS,36,,,UFA,knee,OUT,2025-09-15T12:40:02.401Z
31658,Janarius,Robinson,DE,98,,,UFA,foot,QUESTIONABLE,2025-09-15T12:40:02.401Z
39117,Wan'Dale,Robinson,WR,17,53,NYG,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
39214,Dominique,Robinson,DE,90,60,CHI,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
168070,Jakob,Robinson,CB,49,,,UFA,forearm,OUT,2025-09-15T12:40:02.401Z
13365,Cam,Robinson,T,74,64,HOU,ROSTER,leg,QUESTIONABLE,2025-09-15T12:40:02.401Z
6914,Aaron,Rodgers,QB,8,59,PIT,ROSTER,back,QUESTIONABLE,2025-09-15T12:40:02.401Z
47179,Malcolm,Rodriguez,LB,44,61,DET,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
9625,Eric,Rogers,CB,39,75,LAC,ROSTER,undisclosed,OUT,2025-09-15T12:40:02.401Z
166935,Kurtis,Rourke,QB,,,,ROSTER,knee,OUT,2025-09-15T12:40:02.401Z
166796,Jalen,Royals,WR,11,73,KC,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
18808,Jon,Runyan,G,76,53,NYG,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
