team_abbr,player_id,player_name,position,status_norm,designation,practice,injury_desc,status_raw,last_updated
NYG,45694,Micah McFadden,LB,QUESTIONABLE,,,leg,QUESTIONABLE,2025-09-24T13:29:18.304Z
BUF,24436,Connor McGovern,G,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
PHI,108874,Tanner McKee,QB,QUESTIONABLE,,,finger,QUESTIONABLE,2025-09-24T13:29:18.304Z
WAS,16490,Terry McLaurin,WR,QUESTIONABLE,,,quadricep,QUESTIONABLE,2025-09-24T13:29:18.304Z
TB,133927,Jalen McMillan,WR,OUT,,,back,OUT,2025-09-24T13:29:18.304Z
DET,30382,Alim McNeill,NT,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
JAX,16906,Patrick Mekari,G,QUESTIONABLE,,,back,QUESTIONABLE,2025-09-24T13:29:18.304Z
MIA,30941,Ifeatu Melifonwu,FS,QUESTIONABLE,,,calf,QUESTIONABLE,2025-09-24T13:29:18.304Z
GB,39203,Bo Melton,CB,QUESTIONABLE,,,shoulder,QUESTIONABLE,2025-09-24T13:29:18.304Z
BUF,12775,Matt Milano,OLB,QUESTIONABLE,,,pectoral,QUESTIONABLE,2025-09-24T13:29:18.304Z
JAX,166650,Wyatt Milum,G,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
BAL,111631,Keaton Mitchell,RB,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
HOU,12843,Joe Mixon,RB,OUT,,,foot,OUT,2025-09-24T13:29:18.304Z
LAC,30937,Elijah Molden,CB,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
TEN,33175,Dan Moore,T,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
IND,13079,Kenny Moore II,CB,OUT,,,calf,OUT,2025-09-24T13:29:18.304Z
NO,16624,Foster Moreau,TE,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
NYG,134019,Darius Muasau,LB,QUESTIONABLE,,,head,QUESTIONABLE,2025-09-24T13:29:18.304Z
TEN,166900,Kalel Mullings,RB,QUESTIONABLE,,,undisclosed,QUESTIONABLE,2025-09-24T13:29:18.304Z
LA,166948,Konata Mumpfield,WR,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
ARI,17009,Sean Murphy-Bunting,CB,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
SF,133959,Malik Mustapha,FS,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
ATL,166926,Jack Nelson,OT,QUESTIONABLE,,,calf,QUESTIONABLE,2025-09-24T13:29:18.304Z
ARI,166690,Walter Nolan,DE,OUT,,,calf,OUT,2025-09-24T13:29:18.304Z
NYG,7326,Rakeem Nunez-Roches,DT,QUESTIONABLE,,,foot,QUESTIONABLE,2025-09-24T13:29:18.304Z
NYJ,30927,Kene Nwangwu,RB,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
DET,16246,Pat O'Connor,DT,QUESTIONABLE,,,leg,QUESTIONABLE,2025-09-24T13:29:18.304Z
LAC,48023,Otito Ogbonnia,DT,QUESTIONABLE,,,undisclosed,QUESTIONABLE,2025-09-24T13:29:18.304Z
NYJ,15399,Chukwuma Okorafor,OT,QUESTIONABLE,,,hand,QUESTIONABLE,2025-09-24T13:29:18.304Z
TEN,134355,Bryce Oliver,WR,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
BUF,16051,Ed Oliver,DT,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
JAX,14975,Foye Oluokun,LB,QUESTIONABLE,,,illness,QUESTIONABLE,2025-09-24T13:29:18.304Z
SEA,108840,Olusegun Oluwatimi,C,QUESTIONABLE,,,back,QUESTIONABLE,2025-09-24T13:29:18.304Z
SEA,166835,Robbie Ouzts,FB,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
DAL,79828,DeMarvion Overshown,LB,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
NO,108877,Trey Palmer,WR,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
LA,19020,Colby Parkinson,TE,QUESTIONABLE,,,shoulder,QUESTIONABLE,2025-09-24T13:29:18.304Z
CIN,12988,Lucas Patrick,G,OUT,,,calf,OUT,2025-09-24T13:29:18.304Z
NYG,134533,Rico Payton,CB,OUT,,,undisclosed,OUT,2025-09-24T13:29:18.304Z
ATL,166699,James Pearce Jr.,DE,QUESTIONABLE,,,groin,QUESTIONABLE,2025-09-24T13:29:18.304Z
NO,39093,Trevor Penning,OT,QUESTIONABLE,,,toe,QUESTIONABLE,2025-09-24T13:29:18.304Z
CIN,13175,Samaje Perine,RB,QUESTIONABLE,,,thumb,QUESTIONABLE,2025-09-24T13:29:18.304Z
LAC,8255,Denzel Perryman,LB,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
ATL,79851,Clark Phillips III,CB,QUESTIONABLE,,,ribs,QUESTIONABLE,2025-09-24T13:29:18.304Z
CLE,13218,Ethan Pocic,C,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
NE,30251,Elijah Ponder,LB,QUESTIONABLE,,,undisclosed,QUESTIONABLE,2025-09-24T13:29:18.304Z
PIT,79770,Joey Porter Jr.,CB,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
LV,133878,Jackson Powers-Johnson,G,QUESTIONABLE,,,concussion,QUESTIONABLE,2025-09-24T13:29:18.304Z
SF,133921,Dominick Puni,G,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
SF,39438,Brock Purdy,QB,OUT,,,toe,OUT,2025-09-24T13:29:18.304Z
NO,30719,Dillon Radunz,G,QUESTIONABLE,,,toe,QUESTIONABLE,2025-09-24T13:29:18.304Z
IND,39277,Bernhard Raimann,T,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
JAX,166757,Caleb Ransaw,CB,OUT,,,lower body,OUT,2025-09-24T13:29:18.304Z
CAR,39226,LaBryan Ray,DT,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
TB,12688,Haason Reddick,OLB,QUESTIONABLE,,,foot,QUESTIONABLE,2025-09-24T13:29:18.304Z
HOU,166899,Jaylen Reed,FS,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
GB,79788,Jayden Reed,WR,OUT,,,collarbone,OUT,2025-09-24T13:29:18.304Z
DET,15043,D.J. Reed,CB,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
CLE,134320,Winston Reid,LB,OUT,,,back,OUT,2025-09-24T13:29:18.304Z
CAR,16623,Hunter Renfrow,WR,QUESTIONABLE,,,toe,QUESTIONABLE,2025-09-24T13:29:18.304Z
NYJ,13573,Josh Reynolds,WR,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
BAL,12758,Patrick Ricard,FB,QUESTIONABLE,,,calf,QUESTIONABLE,2025-09-24T13:29:18.304Z
KC,79793,Rashee Rice,WR,OUT,,,suspension,OUT,2025-09-24T13:29:18.304Z
LV,133947,Decamerion Richardson,CB,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
DEN,18952,Malcolm Roach,DT,OUT,,,calf,OUT,2025-09-24T13:29:18.304Z
LV,9942,Elandon Roberts,OLB,QUESTIONABLE,,,elbow,QUESTIONABLE,2025-09-24T13:29:18.304Z
HOU,13365,Cam Robinson,T,QUESTIONABLE,,,leg,QUESTIONABLE,2025-09-24T13:29:18.304Z
MIA,133855,Chop Robinson,DE,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
CHI,39214,Dominique Robinson,DE,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
PIT,6914,Aaron Rodgers,QB,QUESTIONABLE,,,back,QUESTIONABLE,2025-09-24T13:29:18.304Z
DET,47179,Malcolm Rodriguez,LB,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
LAC,9625,Eric Rogers,CB,OUT,,,undisclosed,OUT,2025-09-24T13:29:18.304Z
KC,166796,Jalen Royals,WR,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
NYG,18808,Jon Runyan,G,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
BUF,12811,Curtis Samuel,WR,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
CLE,166665,Shedeur Sanders,QB,QUESTIONABLE,,,oblique,QUESTIONABLE,2025-09-24T13:29:18.304Z
MIA,14708,Jason Sanders,K,OUT,,,hip,OUT,2025-09-24T13:29:18.304Z
PIT,16685,Max Scharping,G,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
PIT,9984,Isaac Seumalo,G,QUESTIONABLE,,,undisclosed,QUESTIONABLE,2025-09-24T13:29:18.304Z
PHI,133962,Will Shipley,RB,QUESTIONABLE,,,ribs,QUESTIONABLE,2025-09-24T13:29:18.304Z
NYJ,23001,John Simpson,G,QUESTIONABLE,,,back,QUESTIONABLE,2025-09-24T13:29:18.304Z
MIN,16199,Justin Skule,T,QUESTIONABLE,,,concussion,QUESTIONABLE,2025-09-24T13:29:18.304Z
PIT,6897,Darius Slay,CB,QUESTIONABLE,,,leg,QUESTIONABLE,2025-09-24T13:29:18.304Z
CHI,108851,Terell Smith,CB,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
DAL,79764,Mazi Smith,DT,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
HOU,166646,Jaylin Smith,CB,OUT,,,hamstring,OUT,2025-09-24T13:29:18.304Z
JAX,133882,Maason Smith,DT,OUT,,,undisclosed,OUT,2025-09-24T13:29:18.304Z
IND,15193,Braden Smith,T,QUESTIONABLE,,,groin,QUESTIONABLE,2025-09-24T13:29:18.304Z
HOU,16360,Irv Smith Jr.,LB,OUT,,,hand,OUT,2025-09-24T13:29:18.304Z
GB,166788,Barryn Sorrell,DE,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
TEN,79819,Tyjae Spears,RB,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
CIN,166691,Shemar Stewart,DE,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
HOU,133958,Cade Stover,TE,OUT,,,foot,OUT,2025-09-24T13:29:18.304Z
SEA,134585,Jalen Sundell,C,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
TEN,133872,T'Vondre Sweat,DT,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
NYJ,166711,Mason Taylor,TE,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
KC,16720,Jawaan Taylor,T,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
